Chapter number,Macro book,Era,13-chapter cluster,10-chapter Walter cycle,Year or approximate year,Location,POV character or artifact type,Chapter title,Word target,Immediate human conflict,World-system advanced,Walter visible or invisible role,Canon event touched,Divergence status,New lore introduced,Character introduced or developed,Consequence seeded,Payoff target chapter,Editing warning
790,Book IV: Lanterns,Era 9: The Feudal Failure,61.10 Walter chapter / shadow reveal,Walter POV,297,Riverlands,Walter White,The Feudal Failure: Walter chapter / shadow reveal,750,"Walter White needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,Direct interior decision reframes prior nine chapters.,War of the Five Kings begins (nearby pressure),Canon,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to Riverlands.,Walter White developed; tie to Riverlands and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 790 returns with altered stakes.",Ch. 881,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
791,Book IV: Lanterns,Era 9: The Feudal Failure,61.11 Second-order consequence,Walter-shadow 1/9,297,The North,freedwoman organizer,The Feudal Failure: Second-order consequence,750,"freedwoman organizer needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings begins (nearby pressure),Canon,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to The North.,freedwoman organizer developed; tie to The North and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 791 returns with altered stakes.",Ch. 804,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
792,Book IV: Lanterns,Era 9: The Feudal Failure,61.12 Moral complication,Walter-shadow 2/9,297,Dorne,Braavosi notary,The Feudal Failure: Moral complication,750,"Braavosi notary needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings begins (nearby pressure),Canon,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to Dorne.,Braavosi notary developed; tie to Dorne and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 792 returns with altered stakes.",Ch. 818,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
793,Book IV: Lanterns,Era 9: The Feudal Failure,61.13 Label-ledger-law-song artifact,Walter-shadow 3/9,297,Slaver's Bay,lantern code slip,The Feudal Failure: Label-ledger-law-song artifact,750,"lantern code slip needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings begins (nearby pressure),Canon,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to Slaver's Bay.,lantern code slip developed; tie to Slaver's Bay and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 793 returns with altered stakes.",Ch. 832,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
794,Book IV: Lanterns,Era 9: The Feudal Failure,62.01 Opening pressure,Walter-shadow 4/9,297,King's Landing,midwife,The Feudal Failure: Opening pressure,750,"midwife needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings begins (nearby pressure),Canon,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to King's Landing.,midwife developed; tie to King's Landing and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 794 returns with altered stakes.",Ch. 846,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
795,Book IV: Lanterns,Era 9: The Feudal Failure,62.02 Local character introduced,Walter-shadow 5/9,297,Riverlands,sellsword quartermaster,The Feudal Failure: Local character introduced,750,"sellsword quartermaster needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings begins (nearby pressure),Canon,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to Riverlands.,sellsword quartermaster developed; tie to Riverlands and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 795 returns with altered stakes.",Ch. 860,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
796,Book IV: Lanterns,Era 9: The Feudal Failure,62.03 Material system problem,Walter-shadow 6/9,297,The North,wildling mother,The Feudal Failure: Material system problem,750,"wildling mother needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings begins (nearby pressure),Canon,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to The North.,wildling mother developed; tie to The North and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 796 returns with altered stakes.",Ch. 874,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
797,Book IV: Lanterns,Era 9: The Feudal Failure,62.04 Social consequence,Walter-shadow 7/9,298,Dorne,Night's Watch steward,The Feudal Failure: Social consequence,750,"Night's Watch steward needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings begins,Canon,War and security rule tagged as canon-compatible inference or fic invention; localized to Dorne.,Night's Watch steward developed; tie to Dorne and war and security.,"A material habit, debt, enemy, record, or route from chapter 797 returns with altered stakes.",Ch. 888,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
798,Book IV: Lanterns,Era 9: The Feudal Failure,62.05 Hidden Walter effect,Walter-shadow 8/9,298,Slaver's Bay,maester dissenter,The Feudal Failure: Hidden Walter effect,750,"maester dissenter needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings begins,Canon,Health and biology rule tagged as canon-compatible inference or fic invention; localized to Slaver's Bay.,maester dissenter developed; tie to Slaver's Bay and health and biology.,"A material habit, debt, enemy, record, or route from chapter 798 returns with altered stakes.",Ch. 811,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
799,Book IV: Lanterns,Era 9: The Feudal Failure,62.06 Unexpected cost,Walter-shadow 9/9,298,King's Landing,septa teacher,The Feudal Failure: Unexpected cost,750,"septa teacher needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings begins,Canon,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to King's Landing.,septa teacher developed; tie to King's Landing and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 799 returns with altered stakes.",Ch. 825,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
800,Book IV: Lanterns,Era 9: The Feudal Failure,62.07 Counterforce reaction,Walter POV,298,Riverlands,Walter White,The Feudal Failure: Counterforce reaction,750,"Walter White needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,Direct interior decision reframes prior nine chapters.,War of the Five Kings begins,Canon,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to Riverlands.,Walter White developed; tie to Riverlands and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 800 returns with altered stakes.",Ch. 839,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
801,Book V: Sky,Era 9: The Feudal Failure,62.08 Adaptation,Walter-shadow 1/9,298,The North,lantern operator,The Feudal Failure: Adaptation,750,"lantern operator needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings begins,Canon,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to The North.,lantern operator developed; tie to The North and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 801 returns with altered stakes.",Ch. 853,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
802,Book V: Sky,Era 9: The Feudal Failure,62.09 Partial victory,Walter-shadow 2/9,298,Dorne,dragon safety handler,The Feudal Failure: Partial victory,750,"dragon safety handler needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings begins,Canon,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to Dorne.,dragon safety handler developed; tie to Dorne and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 802 returns with altered stakes.",Ch. 867,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
803,Book V: Sky,Era 9: The Feudal Failure,62.10 Walter chapter / shadow reveal,Walter-shadow 3/9,298,Slaver's Bay,public-health inspector,The Feudal Failure: Walter chapter / shadow reveal,750,"public-health inspector needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings begins,Canon,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to Slaver's Bay.,public-health inspector developed; tie to Slaver's Bay and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 803 returns with altered stakes.",Ch. 881,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
804,Book V: Sky,Era 9: The Feudal Failure,62.11 Second-order consequence,Walter-shadow 4/9,298,King's Landing,charter voter,The Feudal Failure: Second-order consequence,750,"charter voter needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings begins,Canon,War and security rule tagged as canon-compatible inference or fic invention; localized to King's Landing.,charter voter developed; tie to King's Landing and war and security.,"A material habit, debt, enemy, record, or route from chapter 804 returns with altered stakes.",Ch. 895,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
805,Book V: Sky,Era 9: The Feudal Failure,62.12 Moral complication,Walter-shadow 5/9,298,Riverlands,archive student,The Feudal Failure: Moral complication,750,"archive student needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings begins,Canon,Health and biology rule tagged as canon-compatible inference or fic invention; localized to Riverlands.,archive student developed; tie to Riverlands and health and biology.,"A material habit, debt, enemy, record, or route from chapter 805 returns with altered stakes.",Ch. 818,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
806,Book V: Sky,Era 9: The Feudal Failure,62.13 Label-ledger-law-song artifact,Walter-shadow 6/9,299,The North,lantern code slip,The Feudal Failure: Label-ledger-law-song artifact,750,"lantern code slip needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings continues,Canon,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to The North.,lantern code slip developed; tie to The North and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 806 returns with altered stakes.",Ch. 832,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
807,Book V: Sky,Era 9: The Feudal Failure,63.01 Opening pressure,Walter-shadow 7/9,299,Dorne,slave laundress,The Feudal Failure: Opening pressure,750,"slave laundress needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings continues,Canon,War and security rule tagged as canon-compatible inference or fic invention; localized to Dorne.,slave laundress developed; tie to Dorne and war and security.,"A material habit, debt, enemy, record, or route from chapter 807 returns with altered stakes.",Ch. 846,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
808,Book V: Sky,Era 9: The Feudal Failure,63.02 Local character introduced,Walter-shadow 8/9,299,Slaver's Bay,temple slave novice,The Feudal Failure: Local character introduced,750,"temple slave novice needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings continues,Canon,Health and biology rule tagged as canon-compatible inference or fic invention; localized to Slaver's Bay.,temple slave novice developed; tie to Slaver's Bay and health and biology.,"A material habit, debt, enemy, record, or route from chapter 808 returns with altered stakes.",Ch. 860,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
809,Book V: Sky,Era 9: The Feudal Failure,63.03 Material system problem,Walter-shadow 9/9,299,King's Landing,dock ration clerk,The Feudal Failure: Material system problem,750,"dock ration clerk needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings continues,Canon,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to King's Landing.,dock ration clerk developed; tie to King's Landing and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 809 returns with altered stakes.",Ch. 874,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
810,Book V: Sky,Era 9: The Feudal Failure,63.04 Social consequence,Walter POV,299,Riverlands,Walter White,The Feudal Failure: Social consequence,750,"Walter White needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,Direct interior decision reframes prior nine chapters.,War of the Five Kings continues,Canon,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to Riverlands.,Walter White developed; tie to Riverlands and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 810 returns with altered stakes.",Ch. 888,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
811,Book V: Sky,Era 9: The Feudal Failure,63.05 Hidden Walter effect,Walter-shadow 1/9,299,The North,corpse-cart boy,The Feudal Failure: Hidden Walter effect,750,"corpse-cart boy needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings continues,Canon,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to The North.,corpse-cart boy developed; tie to The North and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 811 returns with altered stakes.",Ch. 902,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
812,Book V: Sky,Era 9: The Feudal Failure,63.06 Unexpected cost,Walter-shadow 2/9,299,Dorne,red priest copyist,The Feudal Failure: Unexpected cost,750,"red priest copyist needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings continues,Canon,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to Dorne.,red priest copyist developed; tie to Dorne and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 812 returns with altered stakes.",Ch. 825,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
813,Book V: Sky,Era 9: The Feudal Failure,63.07 Counterforce reaction,Walter-shadow 3/9,299,Slaver's Bay,slaver accountant,The Feudal Failure: Counterforce reaction,750,"slaver accountant needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings continues,Canon,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to Slaver's Bay.,slaver accountant developed; tie to Slaver's Bay and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 813 returns with altered stakes.",Ch. 839,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
814,Book V: Sky,Era 9: The Feudal Failure,63.08 Adaptation,Walter-shadow 4/9,299,King's Landing,ship caulker,The Feudal Failure: Adaptation,750,"ship caulker needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings continues,Canon,War and security rule tagged as canon-compatible inference or fic invention; localized to King's Landing.,ship caulker developed; tie to King's Landing and war and security.,"A material habit, debt, enemy, record, or route from chapter 814 returns with altered stakes.",Ch. 853,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
815,Book V: Sky,Era 9: The Feudal Failure,63.09 Partial victory,Walter-shadow 5/9,300,Riverlands,freedwoman organizer,The Feudal Failure: Partial victory,750,"freedwoman organizer needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings aftermath and successor conflicts,Canon,Health and biology rule tagged as canon-compatible inference or fic invention; localized to Riverlands.,freedwoman organizer developed; tie to Riverlands and health and biology.,"A material habit, debt, enemy, record, or route from chapter 815 returns with altered stakes.",Ch. 867,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
816,Book V: Sky,Era 9: The Feudal Failure,63.10 Walter chapter / shadow reveal,Walter-shadow 6/9,300,The North,Braavosi notary,The Feudal Failure: Walter chapter / shadow reveal,750,"Braavosi notary needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings aftermath and successor conflicts,Canon,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to The North.,Braavosi notary developed; tie to The North and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 816 returns with altered stakes.",Ch. 881,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
817,Book V: Sky,Era 9: The Feudal Failure,63.11 Second-order consequence,Walter-shadow 7/9,300,Dorne,glassworker apprentice,The Feudal Failure: Second-order consequence,750,"glassworker apprentice needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings aftermath and successor conflicts,Canon,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to Dorne.,glassworker apprentice developed; tie to Dorne and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 817 returns with altered stakes.",Ch. 895,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
818,Book V: Sky,Era 9: The Feudal Failure,63.12 Moral complication,Walter-shadow 8/9,300,Slaver's Bay,midwife,The Feudal Failure: Moral complication,750,"midwife needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings aftermath and successor conflicts,Canon,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to Slaver's Bay.,midwife developed; tie to Slaver's Bay and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 818 returns with altered stakes.",Ch. 909,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
819,Book V: Sky,Era 9: The Feudal Failure,63.13 Label-ledger-law-song artifact,Walter-shadow 9/9,300,King's Landing,lantern code slip,The Feudal Failure: Label-ledger-law-song artifact,750,"lantern code slip needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings aftermath and successor conflicts,Canon,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to King's Landing.,lantern code slip developed; tie to King's Landing and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 819 returns with altered stakes.",Ch. 832,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
820,Book V: Sky,Era 10: The Long Night Without a Savior,64.01 Opening pressure,Walter POV,301,The Wall,Walter White,The Long Night Without a Savior: Opening pressure,750,"Walter White needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,Direct interior decision reframes prior nine chapters.,Others crisis / Long Night timing for fic,Deliberate divergence,War and security rule tagged as canon-compatible inference or fic invention; localized to The Wall.,Walter White developed; tie to The Wall and war and security.,"A material habit, debt, enemy, record, or route from chapter 820 returns with altered stakes.",Ch. 846,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
821,Book V: Sky,Era 10: The Long Night Without a Savior,64.02 Local character introduced,Walter-shadow 1/9,301,Lantern Chain posts,maester dissenter,The Long Night Without a Savior: Local character introduced,750,"maester dissenter needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Others crisis / Long Night timing for fic,Deliberate divergence,Health and biology rule tagged as canon-compatible inference or fic invention; localized to Lantern Chain posts.,maester dissenter developed; tie to Lantern Chain posts and health and biology.,"A material habit, debt, enemy, record, or route from chapter 821 returns with altered stakes.",Ch. 860,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
822,Book V: Sky,Era 10: The Long Night Without a Savior,64.03 Material system problem,Walter-shadow 2/9,301,Winterfell,septa teacher,The Long Night Without a Savior: Material system problem,750,"septa teacher needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Others crisis / Long Night timing for fic,Deliberate divergence,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to Winterfell.,septa teacher developed; tie to Winterfell and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 822 returns with altered stakes.",Ch. 874,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
823,Book V: Sky,Era 10: The Long Night Without a Savior,64.04 Social consequence,Walter-shadow 3/9,301,free ports,river farmer,The Long Night Without a Savior: Social consequence,750,"river farmer needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Others crisis / Long Night timing for fic,Deliberate divergence,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to free ports.,river farmer developed; tie to free ports and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 823 returns with altered stakes.",Ch. 888,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
824,Book V: Sky,Era 10: The Long Night Without a Savior,64.05 Hidden Walter effect,Walter-shadow 4/9,301,dragon glass depots,lantern operator,The Long Night Without a Savior: Hidden Walter effect,750,"lantern operator needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Others crisis / Long Night timing for fic,Deliberate divergence,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to dragon glass depots.,lantern operator developed; tie to dragon glass depots and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 824 returns with altered stakes.",Ch. 902,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
825,Book V: Sky,Era 10: The Long Night Without a Savior,64.06 Unexpected cost,Walter-shadow 5/9,301,The Wall,dragon safety handler,The Long Night Without a Savior: Unexpected cost,750,"dragon safety handler needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Others crisis / Long Night timing for fic,Deliberate divergence,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to The Wall.,dragon safety handler developed; tie to The Wall and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 825 returns with altered stakes.",Ch. 916,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
826,Book V: Sky,Era 10: The Long Night Without a Savior,64.07 Counterforce reaction,Walter-shadow 6/9,301,Lantern Chain posts,public-health inspector,The Long Night Without a Savior: Counterforce reaction,750,"public-health inspector needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Others crisis / Long Night timing for fic,Deliberate divergence,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to Lantern Chain posts.,public-health inspector developed; tie to Lantern Chain posts and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 826 returns with altered stakes.",Ch. 839,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
827,Book V: Sky,Era 10: The Long Night Without a Savior,64.08 Adaptation,Walter-shadow 7/9,301,Winterfell,charter voter,The Long Night Without a Savior: Adaptation,750,"charter voter needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Others crisis / Long Night timing for fic,Deliberate divergence,War and security rule tagged as canon-compatible inference or fic invention; localized to Winterfell.,charter voter developed; tie to Winterfell and war and security.,"A material habit, debt, enemy, record, or route from chapter 827 returns with altered stakes.",Ch. 853,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
828,Book V: Sky,Era 10: The Long Night Without a Savior,64.09 Partial victory,Walter-shadow 8/9,302,free ports,archive student,The Long Night Without a Savior: Partial victory,750,"archive student needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings aftermath and successor conflicts (nearby pressure),Canon,Health and biology rule tagged as canon-compatible inference or fic invention; localized to free ports.,archive student developed; tie to free ports and health and biology.,"A material habit, debt, enemy, record, or route from chapter 828 returns with altered stakes.",Ch. 867,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
829,Book V: Sky,Era 10: The Long Night Without a Savior,64.10 Walter chapter / shadow reveal,Walter-shadow 9/9,302,dragon glass depots,sky-yard riveter,The Long Night Without a Savior: Walter chapter / shadow reveal,750,"sky-yard riveter needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings aftermath and successor conflicts (nearby pressure),Canon,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to dragon glass depots.,sky-yard riveter developed; tie to dragon glass depots and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 829 returns with altered stakes.",Ch. 881,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
830,Book V: Sky,Era 10: The Long Night Without a Savior,64.11 Second-order consequence,Walter POV,302,The Wall,Walter White,The Long Night Without a Savior: Second-order consequence,750,"Walter White needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,Direct interior decision reframes prior nine chapters.,War of the Five Kings aftermath and successor conflicts (nearby pressure),Canon,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to The Wall.,Walter White developed; tie to The Wall and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 830 returns with altered stakes.",Ch. 895,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
831,Book V: Sky,Era 10: The Long Night Without a Savior,64.12 Moral complication,Walter-shadow 1/9,302,Lantern Chain posts,temple slave novice,The Long Night Without a Savior: Moral complication,750,"temple slave novice needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings aftermath and successor conflicts (nearby pressure),Canon,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to Lantern Chain posts.,temple slave novice developed; tie to Lantern Chain posts and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 831 returns with altered stakes.",Ch. 909,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
832,Book V: Sky,Era 10: The Long Night Without a Savior,64.13 Label-ledger-law-song artifact,Walter-shadow 2/9,302,Winterfell,lantern code slip,The Long Night Without a Savior: Label-ledger-law-song artifact,750,"lantern code slip needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",War of the Five Kings aftermath and successor conflicts (nearby pressure),Canon,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to Winterfell.,lantern code slip developed; tie to Winterfell and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 832 returns with altered stakes.",Ch. 923,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
